,12s,COIII,Cytb,notes
Octopus_vulgaris,AB191119,AJ616311,EF423031,Japan
Octopus_rubescens,AY545084,X83101,,
Octopus_bimaculoides,AY545086,KF225012,MG999670,
Octopus_cyanea,AB191129,AJ628221,KX024747,
Amphioctopus_aegina,AB191125,AJ628214,AJ628178,
Hapalochlaena_maculosa,AY545085,AJ628212,AJ628176,
Abdopus_aculeatus,HM104234,AJ628213,AJ628177,
Octopus_tetricus,KJ605225,KJ605301,KJ605331,
Octopus_berrima,AY545082,AJ628218,AJ628182,
Macroctopus_maorum,HM104239,AJ628231,AJ628194,
Muusoctopus_leioderma_casiz31213,MH361295,MH363733,MH363737,
Burrows_Bay_octopus,MH361296,MH363734,MH363738,
Muusoctopus_leioderma_neotype,MH361297,MH363735,MH363739,
Muusoctopus_eureka,HM572145,HM572190,HM572204,"Be 183"
Muusoctopus_eureka_2,,HM572191,HM572207,"Be 180"
Muusoctopus_eureka_3,EF016349,EF016321,,JMS-2006-1
Muusoctopus_eureka_4,EF016350,EF016322,,JMS-2006-2
Muusoctopus_levis,FJ428003,,,
Muusoctopus_levis_2,FJ428004,,,
Muusoctopus_oregonensis,FJ603545,FJ603538,FJ603518,"FMNH 278314"
Muusoctopus_thielei,FJ428005,HM572198,,
Muusoctopus_yaquinae,FJ603550,FJ603532,FJ603519,"FMNH 308673"
Muusoctopus_hydrothermalis,FJ603547,FJ603533,,"Both from FMNH 307184"
Muusoctopus_hydrothermalis_2,HM572143,HM572200,,
Muusoctopus_longibrachus_longibrachus,HM572146,HM572192,HM572206,
Muusoctopus_rigbyae,FJ428006,FJ603528,FJ603527,
Muusoctopus_rigbyae_2,,,HM572212,NMSZ2002037.032
Muusoctopus_tangaroa,,MT225072,,
Muusoctopus_tangaroa_2,,MT225071,,
Muusoctopus_tangaroa_3,,MT225070,,
Muusoctopus_tangaroa_4,,MT225069,,
Muusoctopus_tangaroa_5,,MT225068,,
Muusoctopus_normani,EF016354,EF016327,FJ603526,JMS-2006-1
Muusoctopus_normani_2,EF016353,EF016326,HM572213,JMS-2006-2
Muusoctopus_normani_3,EF016352,EF016325,,JMS-2006-3
Muusoctopus_normani_4,HM572150,HM572188,HM572208,"Bn 178"
Muusoctopus_longibrachus_akambei,HM572152,HM572195,HM572205,"Be 193"
Muusoctopus_longibrachus_akambei_2,,HM572194,HM572203,"BspC 181"
Muusoctopus_longibrachus_akambei_3,HM572151,HM572193,HM572202,"Ot 58"
Muusoctopus_eicomar,,KM459497,,AGT10634
Muusoctopus_eicomar_2,,KM459496,,AGT10466
Muusoctopus_eicomar_3,,KM459495,,AGT8623
Muusoctopus_eicomar_4,,KM459493,,AGT10622
Muusoctopus_eicomar_5,,KM459485,,AGT2467
Muusoctopus_johnsonianus,EF016351,EF016324,FJ603517,
Muusoctopus_johnsonianus_2,HM572149,HM572197,,"Bj 152"
Muusoctopus_sp._A,FJ603551,FJ603535,FJ603521,"FMNH 308674"
Muusoctopus_sp._A_2,FJ603546,FJ603534,FJ603520,"FMNH 278117"
Muusoctopus_sp._A_3,AY545087,,,JMS-2004
Muusoctopus_cf._profundorum,FJ603548,FJ603537,FJ603524,
Muusoctopus_cf._profundorum_2,FJ603549,FJ603536,FJ603523,
Muusoctopus_sp._B,FJ603552,HM572189,FJ603525,"FMNH 309724"
Muusoctopus_sp._B_2,FJ882061,,,
Muusoctopus_sp._E,HM572147,HM572199,,
Muusoctopus_cf._levis,,EF016323,,
Muusoctopus_cf._rigbyae_AL,HM572144,HM572201,,
Muusoctopus_cf._rigbyae_AS,HM572148,HM572196,,
Muusoctopus_sp.,AY616945,,,
Muusoctopus_sp._MV,FJ603553,,,JMS-2009
Muusoctopus_longibrachus_longibrachus,,KM459494,,
Muusoctopus_longibrachus_longibrachus_2,,KM459492,,
Muusoctopus_longibrachus_longibrachus_3,,KM459491,,
Muusoctopus_longibrachus_longibrachus_4,,KM459490,,
Muusoctopus_longibrachus_longibrachus_5,,KM459489,,
Muusoctopus_longibrachus_longibrachus_6,,KM459488,,
Muusoctopus_longibrachus_longibrachus_7,,KM459487,,
Muusoctopus_longibrachus_longibrachus_8,,KM459486,,
Muusoctopus_longibrachus_2,,,MG999669,
Octopus_californicus,HM572142,HM572187,HM572209,"Oc 209"
Octopus_californicus_2,,AJ250483,,
Octopus_californicus_3,,X83102,,
Enteroctopus_dofleini,AB191121,FJ603531,FJ603522,
Enteroctopus_dofleini_2,,AB573211,KT213457,NSMT:Mo.76115
Enteroctopus_dofleini_3,,X83103,KT213459,
Enteroctopus_megalocyathus,GQ226030,GQ226027,MG999665,
Enteroctopus_megalocyathus_2,,KT314268,HM572211,PA9/EM_Fl6
Enteroctopus_megalocyathus_3,,KT314267,HM572210,AC3/Em214
Enteroctopus_megalocyathus_4,,KM459484,,Emegal2
Enteroctopus_megalocyathus_5,,KC792304,,
Enteroctopus_megalocyathus_6,,KT314269,,PA20
Enteroctopus_megalocyathus_7,,KM459483,,Emegal1
Enteroctopus_zealandicus,,MT225045,,unab6
Enteroctopus_zealandicus_2,,MT225044,,
Enteroctopus_zealandicus_3,,MT225043,,
Enteroctopus_zealandicus_4,,MT225042,,
Enteroctopus_zealandicus_5,,MT225046,,
Enteroctopus_sp.,,,KT213455,
Enteroctopus_sp._2,,,KT213458,
Sasakiopus_salebrosus,GQ226029,GQ226028,,
