,12s,COIII,Cytb,16s,COI,rhodopsin,notes
Octopus_vulgaris_1,AB191119,AJ616311,EF423031,AJ616307,AB430546,KR902901,Japan
Octopus_rubescens,AY545084,X83101,,AJ252755,HM431980,AY545170,
Muusoctopus_leioderma_casiz31213,MH361295,MH363733,MH363737,,,,
Muusoctopus_leioderma_burrows,MH361296,MH363734,MH363738,,,,
Muusoctopus_leioderma_neotype,MH361297,MH363735,MH363739,,,,
Muusoctopus_leioderma_rosario,MH361298,MH363736,MH363740,,,,
Benthoctopus_eureka_1,HM572145,HM572190,HM572204,HM572154,HM572170,HM572222,Be 183
Benthoctopus_levis_1,FJ428003,,,FJ428007,FJ428013,HM572228,
Benthoctopus_oregonensis,FJ603545,FJ603538,FJ603518,FJ603543,HM572180,GQ226016,FMNH 278314
Benthoctopus_thielei,FJ428005,HM572198,,FJ428009,HM572185,,
Benthoctopus_yaquinae,FJ603550,FJ603532,FJ603519,FJ603539,HM572182,GQ226017,FMNH 308673
Vulcanoctopus_hydrothermalis,FJ603547,FJ603533,,FJ603544,HM104264,GQ226020,Both from FMNH 307184
Muusoctopus_longibranchus,HM572146,HM572192,HM572206,KC792311,,HM572219,
Muusoctopus_rigbyae_1,FJ428006,FJ603528,FJ603527,FJ428010,FJ428014,HM572226,
Muusoctopus_tangaroa_1,,MT225072,,MT216980,MT216565,,
Muusoctopus_normani_1,EF016354,EF016327,FJ603526,EF016343,EF016334,HM572223,JMS-2006-1
Muusoctopus_longibrachus_akambei_1,HM572152,HM572195,HM572205,HM572156,HM572171,,Be 193
Benthoctopus_eicomar_1,,KM459497,,KM459463,KM459474,,AGT10634
Benthoctopus_johnsonianus_1,EF016351,EF016324,FJ603517,EF016342,EF016333,EF016316,
Benthoctopus_sp._A_1,FJ603551,FJ603535,FJ603521,FJ603540,HM572179,GQ226019,FMNH 308674
Benthoctopus_cf._Profundorum_1,FJ603548,FJ603537,FJ603524,FJ603542,HM572176,GQ226022,
Benthoctopus_sp._B_1,FJ603552,HM572189,FJ603525,,HM572178,GQ226023,FMNH 309724
Benthoctopus_sp._E,HM572147,HM572199,,HM572161,HM572173,HM572227,
Benthoctopus_cf._Levis,,EF016323,,EF016341,EF016332,,
Benthoctopus_cf._Rigbyae_AL,HM572144,HM572201,,HM572159,HM572174,HM572224,
Benthoctopus_sp.,AY616945,,,,,,
Benthoctopus_sp._MV,FJ603553,,,,,,JMS-2009
Muusoctopus_longibrachus_longibrachus_1,,KM459494,,KM459455,KM459470,,
Octopus_californicus_1,HM572142,HM572187,HM572209,HM572164,AF377968,HM572214,Oc 209
Enteroctopus_dofleini_1,AB191121,FJ603531,FJ603522,AB191107,AB191272,AY545174,
Enteroctopus_megalocyathus_1,GQ226030,GQ226027,MG999665,GQ226032,HM572167,GQ226026,
Enteroctopus_zealandicus_1,,MT225045,,MT216950,MT216543,KT213465,unab6
Enteroctopus_sp._1,,,KT213455,,KT213446,,
Sasakiopus_salebrosus,GQ226029,GQ226028,,GQ226031,,GQ226025,
